,text,label
13,"IN WHICH CARFAX ENLISTS           47

       V. PARTLY SENTIMENTAL                59

      VI.",0
14,"DADDY LAYNE, AND OTHERS           73

     VII.",0
15,"COMPANY COME                      82

    VIII.",0
16,"THE STUBBORN ROCK                 96

      IX.",0
17,"A BAD NIGHT FOR RUCKER           114

       X.",0
18,"BLIND ALLEYS                     125

      XI.",0
19,"ROSEMARY AND RUE                 148

     XII.",0
20,"DULL STEEL                       164

    XIII.",0
21,"THE BURNT CHILD                  177

     XIV.",0
22,"THE LOGIC OF FACT                194

      XV.",0
23,"MAMMY ANN’S GRAVE                207

     XVI.",0
24,"A FRIEND AT NEED                 230

    XVII.",0
25,"AN ANTICLIMAX                    248

   XVIII.",0
26,"EVOLUTIONARY                     261

     XIX.",0
27,"THE HUMAN EQUATION               278

      XX.",0
28,"LIMITATIONS                      294

     XXI.",0
29,"THE CLANSMEN                     305

    XXII.",0
30,"OUT OF A CLEAR SKY               323

   XXIII.",0
31,"AT WESTWOOD HOUSE                334

    XXIV.",0
32,"THE UNKNOWN QUANTITY             346

     XXV.",0
33,"THE MANGLING OF POICTIERS        365

    XXVI.",0
34,"TRYON’S NEWS                     377

   XXVII.",0
35,"CLOUD-WRAITHS                    389

  XXVIII.",0
36,"THE OCOEE’S ANSWER               397

    XXIX.",0
37,"BEYOND THE GAP                   410

     XXX.",0
38,"A GROUNDED WIRE                  419

    XXXI.",0
39,"ON PISGAH’S HEIGHT               436




ILLUSTRATIONS


  “Did you really think that some one was shooting at
    _you_?”                                               _Frontispiece_

                                                                  FACING
                                                                    PAGE

  Carfax stopped abruptly and said no more                           162

  “Poictiers, I’m a ruined man!”                                     328

  “My heavens!” gasped the discoverer; and a voice, apparently
    at his elbow, said: “Quite so”                                   400




After the Manner of Men




I

The Townlander


Coincident with a miniature thunderclap shattering the summer afternoon
silence of the mountain forest a bullet whipped through the foliage,
leaving a half-severed twig to flutter and dangle within easy arm’s
reach.",0
40,"Tregarvon had never before been under fire, and he was a product
of twentieth-century civilization and the cities.",0
41,"Yet his colonial
ancestor, figuring as a seasoned Indian fighter in Braddock’s disaster,
could scarcely have picked his sheltering tree with better judgment or
dropped behind it with more mechanical celerity.",0
42,"“Great Peter!” he exclaimed, under his breath, struggling to draw the
pocket-entangled weapon which he had persuaded himself to add to his
impedimenta before leaving Philadelphia, under the impression that it
would be a necessary part of a land-looker’s equipment in the Tennessee
mountains; “Great Pete----”

The pocket yielded with a sound of tearing cloth, and the first shock
of panic subsided.",0
43,"Crouching behind his tree, the Philadelphian twirled
the cylinder of the revolver to make sure that all the chambers were
filled.",0
44,"While he was doing this there was another report, and this time
the bullet scored the sheltering oak.",0
45,"Tregarvon edged himself into
position, with due regard for the enemy’s line of fire, and cocked his
weapon, not, however, with any reassuring confidence in it, or in his
own steadiness of nerve.",0
46,"Peering judiciously around the buttressing knees of the barricade oak,
he could see nothing save a matted tangle of briers, blackberry bushes,
and laurel.",0
47,"But being the possessor of a fairly active imagination, he
fancied he could see more--the sunlight reflecting from the polished
barrel of a rifle, for example, and, by another turn of the imaginative
screw, the indistinct figure of his assailant far back among the trees.",0
48,"While he was thus reconnoitring, a third shot ripped through the
screening laurel and clicked spitefully into his oak.",0
49,"Since the
click came first, with the report a fraction of a second later, he
reserved his fire.",0
50,"It was evident that the hidden marksman was well
beyond pistol range, and he decided to save his ammunition against
a time when it might stand a chance of being more effective.",0
51,"The
target-practice part of his education had been neglected, and he
especially distrusted his marksmanship with the nickel-plated house
weapon, the more since he had never as yet fired it.",0
52,"Harboring this distrust, he was content for the moment to make
himself small behind his tree, sitting between two of the flanking
root buttresses with his back against the barrier trunk, and wincing
in spite of himself while other bullets, following now in rapid and
measured succession, whined to right or left, or buried themselves in
the solid wood.",0
53,"Oddly enough, the misses, though he could feel the wind
of them on either side, were less disquieting than the hits.",0
54,"At each
impact of lead against wood there was a jarring little shock quite
thrillingly transmissible to quick-set nerves in sympathetic contact
with the other side of the target.",0
55,“By Jove!,0
56,"if Elizabeth could only see me now!” he chuckled broadly;
“Elizabeth, or the _mutterchen_, or even my rough-riding little sister!",0
57,"This fusillading miscreant of mine must be one of the McNabb outlaws,
trying in his elemental fashion to settle the old feud about our title
to the coal lands.",0
58,"By and by, I suppose-- Whew!”

The spine-tingling thrill was so real this time that he was half
minded to look and see if the impacting bullet had not come all the way
through the tree to bulge the bark on his side of it.",0
59,"But he restrained
the prompting and went on talking to himself.",0
60,"“By and by, I suppose, he’ll get tired of blazing away at a safe
distance and come charging down upon me.",0
61,"Then I shall be most unhappily
obliged to kill him; which will be about the crassest misfortune that
could happen, next to his killing me.",0
62,"Confound their barbarous feuds,
anyway!",0
63,"Why can’t these out-of-date mountain people wake up and realize
that they are living in the twentieth century of civilization and
Christian enlightenment?",0
64,"That’s what I’d like to know!”

The only reply to this very reasonable query being the vicious “ping”
of another rifle-bullet, he went on discontentedly.",0
65,"“As if matters were not hopeless enough without adding a scrap with
these silly mountaineers about the land titles!",0
66,"Everything torn up at
home, the family anchor pulled out by the roots in the steel merger,
two women to be taken care of--with Elizabeth presently to make a
third--and nothing to make good on but this failure of a Cumberland
Mountain coal mine!",0
67,"And now, before I’ve had time to turn around, the
spirit moves this rifle-popping moonshine-maker to turn his grouch
loose until I feel it in my bones that I shall have to kill him to make
him quit!”

Then, the _zip-zip_ of the bullets beginning again after a momentary
pause, the soliloquy went on: “That’s right; keep it up, you pin-headed
barbarian!",0
68,"I’ve got you for an excuse to commit manslaughter--that’s
the surest thing there is.",0
69,Which brings on more talk.,0
70,"I wonder how it
feels to kill a man?",0
71,"I’d give all my old shoes if I didn’t have to
find out experimentally.",0
72,"Then there is Elizabeth: it is two completed
generations back to her Quaker forepeople, but she is quite capable of
flatly refusing to marry what they would have stigmatized as ‘a man of
blood.’ Say, you bloodthirsty assassin--that was an uncomfortably near
one!”

After the glancing shot, which had flicked a handful of bark chips into
Tregarvon’s lap, the firing ceased.",0
73,"Assuring himself that the battling
moment at short range was approaching, the young man from the North sat
tight, gripping the house pistol in nervous anticipation, and listening
tensely for the sound of advancing footfalls.",0
74,The suspense was short.,0
75,"Some one, several persons, as it presently
appeared, were pushing through the tangle of low-hanging undergrowth
toward the oak-tree.",0
76,"Tregarvon wondered that there should be no attempt
cautionary on the part of the enemy; wondered again, this time with
nettle pricklings of foolishness, when a voice, cheerfully exultant and
unmistakably feminine, cried out close at hand.",0
77,"“Oh, you people--come here and see!",0
78,"I _did_ hit it--_lots_ of times;
not that trifling little sheet of paper, of course”--scornfully--“but
the tree, I mean.",0
79,"Just come and-- _Ee-e-ow!_”

The shrill little scream of surprise and alarm was for Mr. Vance
Tregarvon, issuing cautiously from behind the bulwark oak, still
mystified, and still absently gripping the pistol.",0
80,"The Philadelphian found himself confronting a young woman gowned
in stone-blue linen, and wearing an embroidery hat to match, the
hat shading a face too unaffectedly winsome to be called beautiful,
perhaps, but yet the most piquant and expressive face he had ever
looked upon.",0
81,"This young woman was carrying a target-rifle; and pinned
upon the bullet-punctured side of the oak was the square of white paper
at which she had evidently been shooting.",0
82,"There were others coming up to join the pretty markswoman: a
lean-faced, mild-eyed, spectacled gentleman of middle age, whose coat
suggested the church or the schoolroom; a vivacious lady in black, with
strongly marked eyebrows and eloquent hands and shoulders; a young
woman who wore an artist’s smock over her walking-gown; and another who
was girlish enough to wear a red tarn, and to be the prettier for it.",0
83,"But by preference Tregarvon made his stammering apologies to the blue
embroidery hat.",0
84,"“Ah--er--please don’t mind me,” he begged, acutely conscious that his
abrupt and pistol-bearing entrance was handicapping him prodigiously.",0
85,"“I thought--that is--er--you see, I really couldn’t know that it was
merely a peaceful target practice, and I----”

“Of all things!” gasped the young woman, her slate-blue eyes
emphasizing her shocked amazement.",0
86,"“Did you really think that some one
was shooting at _you_?",0
87,"But, of course, you must have!",0
88,"How perfectly
dreadful!”

Tregarvon was trying ineffectually to hide the ornamental revolver in
his coat pocket when the others closed in.",0
89,"“You are sure you are not hurt?” the mild-eyed escort made haste to
inquire, and Tregarvon grinned sheepishly.",0
90,"“Only in my self-esteem,” he confessed.",0
91,"“I was silly enough to think
that somebody was trying to mark me down, though I might have known
better after the first shot or two.”

“But how could you know when you were behind the tree and couldn’t see
us?” protested the one who had been doing the shooting.",0
92,"“I’m sure it
speaks libraries for your self-control that you didn’t retaliate in
kind!",0
93,"Don’t you think so, Madame Fortier?” and she appealed to the lady
with the Gallic eyebrows and the eloquent shoulders.",0
94,"“_Ciel!_ but the _sangfroid_--what you call the cold blood--of these
American zhentlemen is of a grandeur the moz’ magnificent!” exclaimed
madame.",0
95,"“Mees Richardia she is shoot a hondred time at zis zhentleman,
and he is say he is injure’ onlee in hees _amour-propre_!”

It was at this point that the humor of the situation overtook the chief
offender, and she laughed, the sweetest and most delectable laugh that
ever gladdened the ears of a young man keenly sensitive to the charms
of heavenly slate-blue eyes, a piquant face, and a voice remindful of
wood-thrushes and song-sparrows and golden-throated warblers.",0
96,"“After this, there is nothing left for us but to declare ourselves,”
she submitted ruefully, turning to the spectacled escort.",0
97,"“It is the
least we can do to save the gentleman the trouble of describing us if
he wishes to have us taken before Squire Prigmore.”

But now Tregarvon was regaining some measure of equanimity.",0
98,"“Let me be the one to begin the identifying process,” he amended.",0
99,"“My
name is Vance Tregarvon, and I have the misfortune to be the present
owner of the valueless piece of property known as the Ocoee Mine.",0
100,"You
are more than welcome to make a rifle-range of my landscape any time
you wish.",0
101,"I am quite certain it is the only useful purpose it has ever
subserved.”

The gentleman whose coat was either clerical or schoolmasterish, bowed
gravely and took his turn, prefacing it with a question.",0
102,"“Have you ever heard of Highmount College for Young Women, Mr.
Tregarvon?”

Tregarvon, in deference to piquancies and slate-blue eyes and the
like, was tempted to quibble and say that, of course, every one knew
of Highmount College.",0
103,"But the heavenly eyes were holding him, and they
promised intolerance of anything but the pellucid truth.",0
104,"So he shook
his head regretfully.",0
105,"“Such is fame--the fame of an old, a great, and a noble institution
of learning!” said the spectacled one, in mock deprecation.",0
106,"“With
a foundation laid over half a century in the past, with the most
healthful and charming location on the entire Cumberland Mountain for
its site; with a corps of instructors second only to those of the
richly endowed colleges of the North--correct me, Miss Richardia, if
I am not quoting the prospectus accurately--with all these splendid
advantages, and with a student body drawn from the oldest and most
distinguished families of the South.... Mr. Tregarvon, can it be
possible----”

“Spare me!” laughed the victim.",0
107,"“You must remember that I am only a
poor, ignorant provincial from Philadelphia, less than a fortnight out
of the shell.”

“We are merely trying to impress you properly so that you will
think twice before having us arrested for trespass and attempted
assassination,” broke in the laughing markswoman.",0
108,"“We may not look
it, but we are a majority of the faculty of Highmount College for
Young Women.",0
109,"Let me present you to Madame Fortier, Modern Languages;
to Miss Longstreet, Art; to Miss Farron, Assistant Mathematics; and
to Professor William Wilberforce Hartridge, M.A., Vanderbilt, Higher
Mathematics and the Natural Sciences.”

Tregarvon bowed in turn to the Gallic eyebrows, to the artist’s smock,
to the red tam-o’-shanter, and shook hands cordially with the M.A.,
Vanderbilt.",0
110,"“This is fine, you know; it’s like Robinson Crusoe’s meeting with his
rescuers,” he asserted joyously.",0
111,"“This is my first real hearing of the
English tongue since I began doing time down yonder in Coalville, with
my old ruin of an office-building for a dungeon, and Mrs. Matt Tryon
for my jail matron.",0
112,Is it very far to Highmount College?,0
113,"And may I hope
sometime to----”

The three younger women laughed at this, and Madame Fortier hastened to
be hospitable.",0
114,"“We shall be moz’ charm’, Monsieur Tregarvong.",0
115,"I will spik for
President Caswell and hees good madame.” But Tregarvon waited for Miss
Richardia’s confirmation, which was given unhesitatingly.",0
116,"“Certainly, you must come, if you can spare the time,” she affirmed.",0
117,"“We were speaking of you, and of the Ocoee prospects, at dinner the
other evening, and Doctor Caswell was even then threatening to look
you up.",0
118,"I think he said he had met your father in years gone by.”

“I am sure that was exceedingly kind and hospitable--to think of taking
the stranger up before he had made himself known,” said Tregarvon, with
the hearth-warmed exile’s glow at his heart.",0
119,"They were moving over
to the rifle-rest, and he had fallen a step or two behind with Miss
Richardia.",0
120,"“You would have to be a castaway in a strange land yourself
to know how good it feels to be counted in.”

“I have been both--the castaway and the counted-in,” she returned.",0
121,"“I
was four years in Boston; two of them without knowing a single soul
outside of a limited little Conservatory circle.”

“Ah,” he said, with the air of one who pats himself on the back for his
own perspicacity.",0
122,"“You didn’t introduce yourself a moment ago, as you
may remember, but I was sure you were Music.”

“Why were you?” she asked.",0
123,"“Because you look it.”

“Harmony or discord?” she queried, with the bright little laugh
remindful of the bird songs.",0
124,“How can you ask!,0
125,"Celestial harmony--no less!” It was only a matter of
a hundred yards, between the oak-tree target and the firing-stand, but
they were getting on very well, indeed.",0
126,"“Following that line of reasoning, you might say that Miss Longstreet
looks picturesque, I suppose?",0
127,"And Miss Farron----”

“Miss Farron is far too charming to warrant any allusion to figures,
mathematical or other,” he retorted lightly.",0
128,"“And how about Professor Billy?”

Tregarvon chuckled.",0
129,“Is that what you call him?,0
130,"I’m glad I have a
Christian name that can’t very well be nicked entirely out of all
resemblance to the original.",0
131,"Which reminds me: have I got to call you
‘Miss Richardia’?",0
132,"It sounds awfully formal--don’t you think?--in the
mouth of a man who has been familiarly shot at by its possessor.”

“You had better,” she replied calmly.",0
133,"“I am ‘Miss Dick’ in the
classrooms; but that is the student body’s privilege.",0
134,"Other people have
to earn it.”

“Consider me an employee from this moment, if you please.",0
135,"I’m good at
earning things.”

“Have you earned the Ocoee property?” she asked, altogether, as it
appeared, by way of making conversation.",0
136,"“No; but my father did--very bitterly, as it turned out.",0
137,"May I ask
what you know about the Ocoee?”

“Only what every one knows: that it brings sorrow and ruin to everybody
who has anything to do with it.”

They had reached the rifle-stand, and Hartridge was reloading the
target-gun for Miss Farron.",0
138,"There was still a little isolation for
Tregarvon and his companion, and the young man made the most of it.",0
139,"“Your words imply a lot more than they say,” he suggested.",0
140,"“I shall
take an early opportunity to make my Highmount call, and when I do,
perhaps you will tell me some of the things I need to know.”

“Professor Hartridge or President Caswell can tell you better than I
can,” she demurred, as one dismissing an unpleasant subject.",0
141,"“I only
know that the mine has always been a wretched failure; first a thing
of broken promises, and afterward a cunningly devised pitfall for the
unwary.”

If Tregarvon had for his major weakness the love of women, he was not
lacking such other qualities as may go with broad shoulders, good
gray eyes set wide apart, a clean-cut face, and a resolute jaw.",0
142,"The
squareness of the jaw was emphasized when he said: “This is the time
when the Ocoee quits being a failure, Miss Richardia.",0
143,"It is up to me
to make it a success, and I mean to do it.”

It was at this conjuncture that Miss Farron, trying vainly to sight
the rifle over the fallen-tree firing-stand, broke in upon the
_tête-à-tête_.",0
144,"“Dickie, dear, do come here and hold your hand over my left eye,” she
called plaintively.",0
145,"“It just persists in coming open to see what the
other one is trying to do.”




II

The Sow’s Ear


The rough-hewn world of mountain and valley had taken on a distinctly
cheerful aspect for the young man from Philadelphia when, late in the
afternoon, he reluctantly separated himself from the rifle-shooting
party and turned his steps valleyward to keep an appointment made
two days earlier with one Angus Duncan, an old Scotch mining expert,
upon whom the great Southern title company, unlimited, had long since
conferred the brevet of “captain.”

Whatever the Tregarvon gray eyes and resolute jaw promised in the
way of decisive action and stubborn determination, their possessor
was never born to be a contented anchorite.",0
146,"Not even the matchless
beauties of nature, arrayed in all the glories of a Tennessee mountain
September, could atone for the solitude imposed by the dead-alive
hamlet of Coalville, and the newly opened prospect of an occasional
escape to the congenial social atmosphere of the mountain-top school
was like the shadow of a great rock in a thirsty land.",0
147,"Tregarvon was planning the first of these escapes, and forecasting the
time which would be consumed in freighting his motor-car down from
Philadelphia, when the forest path ended and let him out among the
deserted slope-foot buildings and empty coke-ovens of the Ocoee.",0
148,"He
glanced at his watch.",0
149,"The up-train on the branch railroad was due; it
had doubtless announced its approach by some distant crossing whistle,
since the little squad of village idlers had left its cantonments under
the porch of Tait’s store to straggle across to the station platform.",0
150,Tregarvon remained on his own side of the railroad-tracks and waited.,0
151,"He knew that Captain Duncan’s visit would be discussed in all its
possible bearings in the idlers’ caucus at Tait’s, and he was willing
to disappoint the country-store gossips when it came in his way.",0
152,"There were but few passengers to get on or off at Coalville when the
branch-line train rolled up to the platform, and Tregarvon had no
difficulty in identifying his man; the stocky, ruddy-faced, shrewd-eyed
mining engineer who had been named to him as the foremost coal expert
in the Tennessee field.",0
153,"He cut Duncan out of the group of loungers at
the instant of hand-shaking, and took him across to the dilapidated
building which had once been the superintendent’s office and the
commissary of the Ocoee Company, seeking, and securing, as he imagined,
ear-shot privacy for the business conference.",0
154,"But privacy in a Southern country hamlet, where gossip is as the breath
of life to the isolated few, is only to be bought with a price.",0
155,"From
his post of observation in Tait’s doorway, a lank, bristly-bearded man
in grimy jeans that had once been butternut, marked the direction of
the retreat across the railroad-tracks, made a dodging détour around
the engine of the standing train, and was safely hidden behind a thick
clump of althea bushes at the corner of the office-building when
Tregarvon and the Scotchman came leisurely to sit on the door-stone.",0
156,"“Ye’re paying me for an expert opeenion, Mr. Tregarvon, and that’s what
I’m bound to gie ye,” the engineer was saying.",0
157,"“I’ve known the Ocoee
ever since the first pick was piked intil it, and ye’ll be wasting
your time and money if you try to develop it.",0
158,"That’s what I told your
father, and it’s what I’m telling his son.”

“Poor coal?",0
159,"Or not enough of it?” Tregarvon’s manner was that of a man
desirous of knowing the exact facts.",0
160,“Good coal--fine!,0
161,"It makes a coke that would run everything this side
of Pocahontas, or maybe Connellsville, out o’ the market.",0
162,"And there is
enough of it if the two veins could be worked as one.",0
163,"But there’s the
bogie, Mr. Tregarvon; two well-defined veins, each a foot and a half
thick, one above the other, and with six foot of solid rock between.",0
164,"If
you had twenty such veins it wouldn’t pay to work them in this part of
the country.”

“You mean that the digging out of the rock between the two coal seams
would eat up all the profits?”

“Just that.”

Tregarvon was pulling ineffectually at his short pipe.",0
165,"When he stooped
to pluck a spear of grass for a stem-cleaner he said: “Wasn’t it the
notion of the earliest promoters that the two veins would merge into
one, farther back in the mountain?”

The expert waved his hand toward the long and costly inclined tramway
running straight up the steep slope of the mountain to the two black
openings at the foot of the cliff-line.",0
166,"“Ye’d think they believed in it--wouldn’t ye now--to build that tramway
on the strength of it?",0
167,"Two hunner’ thousand and better they put in
here, first and last; on the tramway and the coke-ovens, the miners’
houses, and this fine office-building that’s crum’ling down behind our
backs!",0
168,"And with every practical coal man in the country telling them
that such a thing as two veins--two separate veins, mind ye--coming
into one was a geological impossibeelity.",0
169,"Parker--the man who set the
trap and caught everybody--he knew, I’m thinking; but Judge Birrell and
all the rest of ’em were crazy--fair crazy!”

“But is it a geological impossibility, Captain Duncan?",0
170,"That is one of
the questions I got you up here to answer for me,” Tregarvon put in.",0
171,The Scotch engineer was too cautious to be definitely oracular.,0
172,"“It’s never been h’ard of yet,” he replied shrewdly, “and there’s a
many to tell ye that the day o’ merricles is past.",0
173,"But that isn’t all,
Mr. Tregarvon.",0
174,"Besides being a sow’s ear that ye canna hope to make
into a silk purse, the Ocoee has another handicap.",0
175,"If ye had your coal
in profitable shape and quantity, ye’d never be allowed to mine and
coke and market it; never in this warld.”

“Who would stop me?”

“The C. C. & I.",0
176,"Company, which is another name in this part o’ the
warld for Consolidated Coal--the trust.",0
177,"The combine owns all the
producing mines hereabouts; they’ve got one in full blast at Whitlow,
five miles above this.",0
178,"If you should develop into anything worth while,
it would be another case of the lion and the lamb lying down in peace
together--with the Ocoee lamb inside of the trust lion.",0
179,"They couldn’t
afford to lat ye operate.",0
180,"Your coke, for as much of it as ye could
make, would drive theirs out o’ the market.”

“Well?” said the Philadelphian.",0
181,"“They’d buy ye, if they could haggle ye down to sell at a bargain; and,
failing in that, they’d break ye.",0
182,"I’m not questioning your resources,
ye unnerstand; that part of it was none of my business after I’d had
your check for my fee safely in my pocket,” he threw in cannily.",0
183,"“But
tell me, now: if ye had your four or five or even six foot of coal, are
ye big enough in the way o’ backing and capital to fight Consolidated
Coal wi’ any hope of coming out alive?”

“That is as it may be,” said Tregarvon, wishing neither to deny nor
to affirm publicly.",0
184,"Then he asked casually if the engineer could give
chapter and page proving the Cumberland Coal and Iron Company’s policy
of extermination.",0
185,"“Can I no?” said the Scotchman, with a snap of the shrewd eyes.",0
186,"“I can
show ye wrecked mines by the handfu’ in a day’s ride up and down this
same Wehatchee Valley we’re sitting in.",0
187,"’Tis the power o’ money, Mr.
Tregarvon.",0
188,"When ye get between the jaws o’ that crusher, ye’re like
this”--picking up a bit of friable sandstone and crumbling it in his
palm.",0
189,The younger man smoked on thoughtfully for a time.,0
190,"Then he said: “Two
of the points upon which I wished to have your opinion have been
covered pretty conclusively, it would seem.",0
191,But there is a third.,0
192,"What
about this trouble with the McNabbs over the land title?”

The Scotchman waved the third point away as if it had been a buzzing
fly.",0
193,"“The McNabbs are just a whiskey-making lot of poor bodies living back
in the Pocket beyond Highmount.",0
194,"An unscrupulous lawyer-scamp got hold
of them when the second Ocoee Company was fair rolling in money, and
showed them how they could trump up a claim to a wedge-like slip o’
land on the top o’ the mountain which, if the claim could be made good,
would cut off the mine a hundred feet or so back from the cliff.",0
195,"There
was neither sense nor justice in it, and the courts said so.",0
196,"Ye’ll be
having no trouble wi’ the McNabbs, unless one o’ them might be taking a
pop at ye wi’ his squirrel-gun some fine day.”

Tregarvon smiled, recalling his sensations while Miss Richardia’s
bullets were snipping bark souvenirs from his sheltering oak.",0
197,"“One wouldn’t be scared out by a little thing like that,” he remarked
half humorously.",0
198,"Then he asked, quite abruptly, another question--the
chief question for an answer to which he had paid the expert’s fee.",0
199,"“I have been told, Captain Duncan, that you have made an analysis
of the Ocoee coals.",0
200,"Also, I have been given to understand that no
two veins in these Tennessee coal-measures have exactly the same
characteristics; that the quality of the coal varies with its distance
from the original surface, though the depth difference between any two
deposits may be very slight.",0
201,"If you didn’t know of the existence of the
six-foot layer of stone lying between my two coal seams, would you, or
would you not, say that they were one and the same?”

Duncan took time to consider before answering the crucial question.",0
202,"“I see what ye’re driving at, now,” he said at length.",0
203,"“Ye’ve paid me
for a true answer, Mr. Tregarvon, and much as I’ll hate to see your
father’s son banging his head against a stone wall, I’ll give it ye.",0
204,"I’ve made half a dozen analyses: so far as they prove anything, the
coal in the two seams is the same.”

“Thank you,” returned Tregarvon, drawing a free breath as if a burden
had been lifted from his shoulders by the answer.",0
205,"And then, as a
quavering whistle blast announced the approach of the down freight
train on the branch: “There is your return train, Captain Duncan.",0
206,"If I
had any hospitality to offer you, you shouldn’t go back to Hesterville
to-night.",0
207,"As it is, I know you’ll be glad you don’t have to stop over
in Coalville.",0
208,"Even the name is a misnomer, it would seem.”

The grizzled Scotchman had discharged his duty and earned his fee.",0
209,"But
the cravings of a purely Caledonian curiosity were still unsatisfied.",0
210,"“And what’ll ye be doing, think ye, Mr. Tregarvon?” he asked
inquisitively.",0
211,Tregarvon’s answer was pointedly and purposefully indifferent.,0
212,"“Oh, I
don’t know definitely yet.",0
213,"I may take a notion to butt my head against
the stone wall, and I may not.",0
214,"If I should, you’ll doubtless hear of
it.",0
215,"Good-by; it was mighty good of you to take the trouble to come and
talk with me when you might have put me off with a letter.”

Though the leave-taking at the door of the office-building was a fact
accomplished, Tregarvon prolonged it a little by walking across to the
station with Duncan.",0
216,"Thereby he missed a possible chance of seeing the
retreat of the man who had been crouching behind the althea bushes, the
dodging run, first to the shelter of the row of coke-ovens, and later
to the lower fringe of the Mount Pisgah forest, darkening now in the
early valley twilight.",0
217,"Late that night, in his room in the cobwebbed and dismantled
office-building, Tregarvon wrote two letters.",0
218,"The first was to a
certain golden youth in New York, a young man rejoicing in the ancient
and honorable name of Poictiers Carfax, and whose father had left him
more money than he knew what to do with.",0
219,"Upon Carfax Tregarvon leaned
as upon a brother, having shared rooms with the golden one in the
university at a period in which the Tregarvon family check could also
have been drawn for seven figures.",0
220,"“You are always howling and taking on about living the simple life,”
was the opening phrase in the letter to Carfax.",0
221,"“I wish you could be
with me to-night and have a taste of what it really is--ten thousand
miles from the Great White Way or a decent beefsteak.",0
222,"I’d describe it
for you if this were anything but a begging letter--which it isn’t.",0
223,"“First, I wish you’d send your machinist over to Philadelphia and have
him ship my car to me here.",0
224,"Tell him to put in extras of everything,
from spark-plugs to tires, just the same as if he were sending it to a
man in Darkest Africa.",0
225,"“Next (and this is of more importance to me, and perhaps less to you),
I am going into a scheme here which promises to leave me stony broke
before I shall have pulled half-way through the experimental stage,
and will possibly bankrupt even the Carfax strong box when it fairly
gets its second wind.",0
226,"I may have to sell you some stock, later on, and
to that end I’ll be glad if you’ll keep in touch--so that you may be
‘touched’--or at least keep yourself within reach of a wire.",0
227,"“This is all I’m going to write, for the time being, except to say that
I’ve thought of you about five times a minute during the past week, and
have tried to picture you in Coalville, hesitating between suicide and
a lingering death from disgust.",0
228,Come down and try it.,0
229,"I’ll go bail it
will give you an entirely new set of sensations.",0
230,"What do you say?”

The second letter was to Miss Elizabeth Wardwell, and it was a
masterpiece in its way--the way of a man who writes as he would talk,
and who talks when he would much better hold his tongue.",0
231,"“The adventures began to-day,” so ran the words of unwisdom.",0
232,"“While I
was clambering around on the mountain above the Ocoee opening, _zip!_
came a bullet--yes, an indubitable leaden bullet fired from a gun--near
enough to make me dodge.",0
233,"What will you think of me when I write it down
in muddy black ink on white paper that I hid behind a tree!",0
234,"I did, you
know, and immediately had plenty of reasons for being thankful that the
tree was big enough to cover me, and thick enough through to stop a
rifle-bullet.",0
235,"“For fifteen minutes, or such a matter--though it seemed a moderately
long lifetime--my assassin kept busy with the sharpshooting, and I
could feel myself growing smaller with every fresh spat of a bullet
into my tree.",0
